LON,LAT,NUMBER,STREET,STR_NAME,STR_TYPE,STR_DIR,address,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-115.7681506,49.5136009,52,VAN HORNE Street N,VAN HORNE,Street,N,52 VAN HORNE Street N,,CRANBROOK,,,,,da99437193d1e5cc
-115.7681917,49.5172703,406,3RD Street NW,3RD,Street,NW,406 3RD Street NW,,CRANBROOK,,,,,2f2ba784460d590b
-115.7683053,49.5173293,406,3RD Street NW,3RD,Street,NW,406 3RD Street NW,,CRANBROOK,,,,,63834e8c54e5cc17
-115.7673053,49.5171473,301,SLATER Road NW,SLATER,Road,NW,301 SLATER Road NW,,CRANBROOK,,,,,4ed8f44b7df13549
-115.7698147,49.4969745,813,12TH Street S,12TH,Street,S,813 12TH Street S,,CRANBROOK,,,,,d8f4099acf54d6af
-115.7700283,49.4969777,809,12TH Street S,12TH,Street,S,809 12TH Street S,,CRANBROOK,,,,,757146078e2cd360
-115.7702388,49.4969762,805,12TH Street S,12TH,Street,S,805 12TH Street S,,CRANBROOK,,,,,49bb9f0f69683636
-115.7704493,49.4969747,801,12TH Street S,12TH,Street,S,801 12TH Street S,,CRANBROOK,,,,,ca38822d047ed56c
-115.771007,49.4972962,1113,8TH Ave S,8TH,Ave,S,1113 8TH Ave S,,CRANBROOK,,,,,6a74aa51f88e2da7
-115.7710081,49.4971345,1117,8TH Ave S,8TH,Ave,S,1117 8TH Ave S,,CRANBROOK,,,,,ccd8de1709e690eb
-115.7714979,49.4971365,1116,7TH Ave S,7TH,Ave,S,1116 7TH Ave S,,CRANBROOK,,,,,d62af02ca429850f
-115.7687318,49.4970831,1205,10TH Ave S,10TH,Ave,S,1205 10TH Ave S,,CRANBROOK,,,,,622bf453f8ceae28
-115.7665382,49.4970095,1029,12TH Street S,12TH,Street,S,1029 12TH Street S,,CRANBROOK,,,,,ef13b1c62f7a8774
-115.7667733,49.4970098,1025,12TH Street S,12TH,Street,S,1025 12TH Street S,,CRANBROOK,,,,,052f6bf742670933
-115.7714967,49.4972981,1112,7TH Ave S,7TH,Ave,S,1112 7TH Ave S,,CRANBROOK,,,,,36f6add6ef429509
-115.7692116,49.4972057,824,12TH Street S,12TH,Street,S,824 12TH Street S,,CRANBROOK,,,,,71d16636b4f18450
